	SiO2	Al2O3	Fe2O3	MnO	MgO	CaO	Na2O	K2O	TiO2	LOI	Sum
gr	73.67	13.79	1.54	0.03	0.32	0.84	3.27	5.13	0.21	0.77	99.57
ad	71.58	14.39	2.31	0.05	0.60	1.80	3.58	4.23	0.29	0.78	99.61
gd	67.02	15.38	4.01	0.08	1.43	3.77	3.54	2.99	0.50	0.98	99.70
to	62.98	16.20	5.55	0.10	2.34	5.65	3.32	1.67	0.57	1.17	99.55
sq	66.34	15.98	3.66	0.07	0.37	1.12	4.75	5.73	0.46	0.95	99.43
mzq	62.89	15.64	5.07	0.09	1.55	3.57	4.00	4.44	0.75	1.32	99.32
mzdq	59.13	16.76	6.91	0.13	2.56	5.56	3.61	3.04	0.83	1.04	99.57
dq	55.22	16.97	8.16	0.15	4.17	7.98	3.08	1.39	0.94	1.55	99.61
s	60.40	18.49	4.31	0.12	0.70	2.48	5.10	6.10	0.46	1.40	99.56
mz	57.48	16.92	6.16	0.12	2.34	5.10	4.15	4.49	0.86	1.72	99.34
mzgo	53.83	16.09	8.67	0.16	3.52	6.99	3.93	2.74	1.26	1.97	99.16
go	47.02	16.12	10.04	0.16	8.15	11.89	2.30	0.60	1.26	2.12	99.66
